County,CountyFIPS,Age Group (5-year),Age Sorting Variable,Sex,Total Population 2020,Total Population 2021,Total Population 2022,Total Population 2023,Total Population 2024,Total Population 2025
Cowlitz,15,50-54,11,Male,3280,3381.94,3468.85,3456.07,3382.02,3355.75
Cowlitz,15,55-59,12,Male,3664,3581.52,3510.89,3436.58,3421.73,3396.87
Cowlitz,15,55-59,12,Female,3809,3742.96,3662.85,3584.25,3543.09,3520.96
Cowlitz,15,60-64,13,Female,3973,3961.77,3961.12,3910.4,3877.68,3838.46
Cowlitz,15,60-64,13,Male,3825,3847.32,3857.64,3829.27,3811.04,3745.58
Cowlitz,15,65-69,14,Male,3448,3500.33,3611.26,3672.21,3743.53,3772.02
Cowlitz,15,65-69,14,Female,3633,3655.93,3742.42,3836.16,3903.46,3906.7
Cowlitz,15,70-74,15,Female,3226,3288.54,3320.21,3333.04,3344.14,3364.98
Cowlitz,15,70-74,15,Male,2895,2976.77,3049.18,3090.65,3138.81,3181.03
Cowlitz,15,75-79,16,Female,2143,2284.47,2436.33,2602.19,2733.66,2840.4
Cowlitz,15,75-79,16,Male,1981,2083.28,2194.3,2305.42,2411.01,2479.9
Cowlitz,15,80-84,17,Female,1311,1369.91,1445.26,1520.15,1636.57,1744.98
Cowlitz,15,80-84,17,Male,1143,1220.94,1300.38,1380.77,1439.67,1520
Cowlitz,15,40-44,18,Male,3280,3401.32,3497.69,3577.27,3665.7,3686.88
Cowlitz,15,40-44,18,Female,3214,3295.62,3383.21,3422.7,3469.62,3541.2
Cowlitz,15,85+,18,Female,1293,1309.52,1319.18,1349.44,1393.93,1450.58
Cowlitz,15,85+,18,Male,835,861.6016585,882.8377319,913.5066539,974.5888422,1036.93
Douglas,17,0-4,1,Male,1343.09,1307.65,1328.6,1293.26,1263.59,1252.6
Douglas,17,0-4,1,Female,1300.09,1272.06,1270.68,1277.29,1255.99,1229
